Date,SSE PLC,Orsted,Iberdrola SA,E.ON SE,Siemens Gamesa Renewable Energy S.A.,Duke Energy,Endesa S.a.,Enel spA,Engie SA,General Electric Company,ABB ltd,Alliant Energy corp,China Longyuan power group corp,nextera energy inc,Siemens AG,RWE AG,SKF AB,Verbund AG,NextEra Energy partners LP,Koninklijke DSM N.V.,SP 500,portfolio,SP 500 values,portfolio values,portfolio values R,SP 500 values R
2021-04-05,0.03809197,-0.002440215,0.019030358,0,-0.057318981,0.01308683,0,0,0,0.013554217,0.046314416,0.008830004,0,0.013329841,0,0,0.021166147,0.032679738,-0.004541104,0,-0.000590585,0.01,436.88,517.9304772,100.812927,100.08
2021-03-29,0.007258901,0.010853478,0.00546697,0.038300981,0.097396043,0.004695816,-0.018469657,0.00094933,0.007228916,0.022324865,-0.029439696,0.007226237,0.075697211,0.023089374,0.024326293,0.044301864,0.031301445,0.020000017,0.011553481,-0.012299283,0.026731988,0.02,437.13,514.2846307,100.2734791,97.53
2021-03-22,0.024433428,0.041623844,0.007342818,0.085410059,0.036816269,0.033541846,0.029891304,0.014567782,-0.013120131,-0.017397882,0.007334184,0.042495673,0.056842105,0.045454576,-0.004783995,0.028921723,-0.053042088,-0.083969466,0.043427714,0.025578136,0.008125533,0.02,425.75,504.8994936,96.20425323,91.65
2021-03-15,0.022447502,0.010384216,0.013488372,0,-0.028279387,0.014442013,0.017511474,0.006178074,0.000820681,0.050874404,0.018512504,0.0127152,0.025917927,-0.063829815,0.022380317,-0.021832718,0.018673012,0.093489112,-0.07707775,0.008837045,-0.009636508,0.01,422.32,496.1823658,96.35445478,92.76
2021-03-08,0.053796261,0.07,0.055473736,0.045228511,0.06417694,0.032418389,0.054934419,0.048520259,0.065588107,-0.075,0.036700337,0.056416616,0.024336283,0.070297047,0.039759593,0.023929471,0.056675064,-0.065522561,0.07710072,0.018358531,0.038483713,0.04,426.43,492.594989,93.1050424,90.37
2021-03-01,-0.010570026,-0.098196393,-0.023021583,-0.005651048,-0.114606742,0.034349807,0.000973285,0.003697093,-0.053785685,0.084529506,0.031966644,0.048310204,-0.216637782,-0.037833504,0.006826998,0.00569981,0.035202046,-0.043283612,-0.046530796,0.017209813,-0.020175538,-0.02,410.63,474.7174223,93.41102269,90.52
2021-02-22,-0.062300885,-0.02060844,-0.008087536,-0.025693967,-0.031706499,-0.032115798,-0.053431601,-0.042947779,-0.062815045,0.043261231,-0.04512276,-0.030862922,-0.112307692,-0.059154867,-0.025109666,-0.029800307,0.008326069,-0.042857143,-0.07002947,-0.041081461,0.006588606,-0.04,419.08,483.9450929,94.25024106,90.15
2021-02-15,-0.006680731,-0.022072937,-0.027302175,-0.005248745,-0.052150885,-0.015475395,-0.010031965,-0.032120926,-0.012255841,0.024722933,0.02100271,-0.013667426,-0.080622348,-0.060507629,-0.008102026,-0.042647059,0.025157192,-0.142682201,-0.043941201,-0.020295838,-0.014287938,-0.03,416.34,502.6550848,91.62647724,90.46
2021-02-08,-0.032653061,-0.091938998,-0.039555556,-0.008821534,0.010720577,-0.051931602,0.02,0.00248609,-0.025746269,0.028947368,0.024288688,-0.027979046,0.140322581,-0.005622022,-0.00059979,-0.065934066,-0.008463225,0.095973181,-0.032678215,-0.014576271,0.005454418,0,422.38,516.2034242,90.62154931,87.48
2021-02-01,-0.009433962,-0.016709512,0.005811354,0.009821836,0.022533557,0.00787234,0.018957346,0.031253815,0.04524181,0.06741573,-0.023381904,0.021171592,0.091549296,0.03375782,0.0395947,0.03203856,-0.021360044,-0.06816757,0.036319006,0.024305556,0.037955502,0.02,420.08,518.3744066,91.28216607,93.35
